contract_creation_tx,malicious
0x5e989304b1fb61ea0652db4d0f9476b8882f27191c1f1d2841f8977cb8c5284c,1
0x2bda71f5b6c6a22a8d74bfd96fb7a9f5b820c707120b2a43f1698b3603767e7a,1
0x45bf5d11f27e0ac56f893d45bf5b02fb0f0e9d5e0d2e7af60f2a01c40e3c761d,1
0x14ae447e0dce7cc6e5a0256a91cc16e1a85104f96590ff23fc72c58b57165162,1
0x1a595d10be428e49dd3558859743fe4bc4570545a55d357f405bd630061c6be0,1
0x45d93aa6b24ac2c6606d81ecae3d8ec5609772cfab3839661d3ae7319e3763b4,1
0xa8289dbe3e49e9c5decaabd3777d9ad60a7b06863539b4948dd17e58a65f3e15,1
0xa194eb8e4cfb8e25a01f15d8ef98c49998b89d336f99a3de5108bd57c580fd02,1
0xa64b650d1f3fbdbc6cabe439caf3bd9d375f45b02f5cba77f24285b300017692,1
0x1aaa35712784713d9ef40bf4848132cc031ce04611d7837649a7f0bf3e03bbf5,1
0x61092c396208c4c74430967e6061e9031ef80adcbb4cf64e58598a9e6b608302,1
0xbffcf01e5aef5d5fc82f9ab7bf78110e3479dffc8f4dc503f663c6b47b9992a4,1
0x9ac08d865feefeb644d34533fe59fbf144e55fa2def302ede1e966a6b8ab025a,1
0xdff3f578284507a25d162df3f8a7fdfbd0d2078de80efaafd9b930750d2174e0,1
0xb08f17f275edbff31e1ded752e5f6142ce76d36127e48c648249ad765555d42f,1
0xef34f4fdf03e403e3c94e96539354fb4fe0b79a5ec927eacc63bc04108dbf420,1
0x24796dca7b49a24016f421663f31a0d72fbbce42b8800a42635ac5bbed7cb129,1
0xbfde287cd08512e0edae0df612d72323173a18debd8f06ea9c808f6a08311de5,1
0x94000c188db2a100d13347b1c0c81209ba774a66fffe354f17ac9a3ec0a4f532,1
0xfd3d56c732e710855907ac72211e4f5a5f697b7b1c14160c41a13a84cb3bb3df,1
0x5b415454528128f12a699582a45254bd8554085247e1e8fcaa2893c77e83140d,1
0x486035b26c0ad30a4ee29b6e6e763c2afe1aa9be503d44f928437f98f8f8a185,1
0xcab152ad406ab63549964f39b6c636aad6ec979cbf5b65376920ba5a22bc1f38,1
0xd243ae6a2773a2f7c38ac3fa6d0c460ebfbf22220d1829da3913ab120595040f,1
0xc3986b9b4c82fcc7e3e46beea27bea5b13fee3f5e262a523a41e2ee77b551673,1
0xd23691cdccd7a88d9864a224e19404f6609627b77f7eb57c9fdd7ec402b2813e,1
0x725f0d65340c859e0f64e72ca8260220c526c3e0ccde530004160809f6177940,1
0x48e69dd7ff3e0c728e818bf26d031f4989d3c3018ec464a18757825634cf7e3c,1
0x39328ea4377a8887d3f6ce91b2f4c6b19a851e2fc5163e2f83bbc2fc136d0c71,1
0x6129de8eb6c637d47ca6ca9b063f246942c3d2c8c703e3ce53f1f1314dad1ed0,1
0x9832a4f3d663db4f082b701d73caf8c12d8dd9db684b7a88e19d7019ec393088,1
0x4518181610a7e37841333eed71bda5f9398129d6f4087f881aa6248b4c548c57,1
0x24c29a858375c3f7012719ce899be0d8857f62200b592a1d201e316e9e917873,1
0x2287aa2d87b256b3d6dc79b84463911fd1c6b38b29957235d293b562e62872c4,1
0xc27c3ec61c61309c9af35af062a834e0d6914f9352113617400577c0f2b0e9de,1
0xce003fcd0985f8ecdd9d28ea7f86a0798d2a582f37ff692587bb6cbcd8168aa8,1
0x6acda6ac1d7fb2a6c0c79707b0353855955ee550be8112c49490ccf6d77cc814,1
0x771431bed03cc59866d8e17be1f5cdac46a321850a57f8a43b375421bdebdcf7,1
0xfd1b40b640d0bb798499387a15a6adc1c97bed918edcdf7a58e38068aac14af2,1
0xd38d714d39b56c64ca329530bed847817a163e98e1d2cf63597b6218d2098031,1
0x230c6d74f37aee924843747875c7a4020247ce3fb31dcfdd403e95971229da44,1
0x21318476755cc4edf552966002837b0b1460060e2940e38745809c230f7fa502,1
0x636be30e58acce0629b2bf975b5c3133840cd7d41ffc3b903720c528f01c65d9,1
0xda57ce2dc51ca7a04c797b06cb39842017da23242bc4836009fb7db293c4a253,1
0xcf1fc0677a8aaaf04d181986de643c362c65b455da583a2ec3ac44a760693dfe,1
0x0c0a6db24a31615ef986ab64600d560ba528867e46ba2dde486117b36c60fa78,1
0xfb7890cbbab669e40ba0d06af2f162d96cdf210b52f55f5b30ba698b911d295d,1
0x9004e33d6675403d60aa9a523473b024a71f404393dde6b8320dbe7e74b191c9,1
0x191e3d08dd09935f4581b602f7895c9459e64792c029c2e08a560b483d80a0c6,1
0x6f740b052e5ea6e16abefd59da99a670e044439b5244ca507d91fbd8a0d14779,1
0xd15887df5c1fd70afbd8424d1ec48a53bc10debf24ee2a86859e296f7a855b58,1
0xd1e140833640d009decbdc6ec3e6bb4e6f1fea57876b78cd6146814b103b2210,1
0x4434f1bc86b5daecf549b22ca9b160776329dbc616070ba2e398fecaaf946ae3,1
0x2f6184306056aac469584093bfa7f9f06ab5f9c6c8c2b3d9cc4ac148b85c5815,1
0x67bde73600ffb9e6e7278f3251e6c388f5f7b2f685da15208d0033201ac4cef6,1
0x1c09fd1464c2b4bc6f34716862805f40b8504871df055072f1bc5adecf774a1e,1
0x4bf905d8cf79acae943bc811071a1c63fa054e269230cf120a00a69076e56348,1
0x2ae52dd3a9eb024eb85e0b21fa5a84b945c2b2109e306095ba8338ba11538241,1
0xc6d98618fd8dd1c4e6cd1443c75f7ecdd933d74b9c78546a36d673116c393652,1
0x93684b238fd392d7f046eb10295f7a3505744d689a2246c97211fe0a9e787df9,1
0x8941bc3772efc5d7ad12fda16543c4bfc4b4bd6a50911f007647c4d17ec6dd09,1
0xdb04dfe9f0cbb87b28b8238373641e11ad100f7b1fab4a55011b33bd8b5fdd6a,1
0x903ab71fcf63fe3beb649317dfccd89845f6894d2c6f39c714564b88b2165dd6,1
0x9235e0662e230bdfa94f56f4932fd09a95fea17e4b9b44a4f40a59449e216110,1
0xca1bbf3b320662c89232006f1ec6624b56242850f07e0f1dadbe4f69ba0d6ac3,1
0xb3f067618ce54bc26a960b660cfc28f9ea0315e2e9a1a855ede1508eb4017376,1
0x242a0fb4fde9de0dc2fd42e8db743cbc197ffa2bf6a036ba0bba303df296408b,1
0xa9665b4194ce8523035eaac41b4acf47a57da027ded3d42e21ad3dbf416c9493,1
0xa6095e03bc85079a7ae2be4f7fafd851483debe0aeb6531b03284f66eb9687fd,1
0x33f19229b5382854e63b4d2d2d82164fcdc5b13a01505ea0d5d2df7e7574ab25,1
0xa907b005876cbfe2368e622fc8d8eb9f494b1a3b4d85c93d2eb75e4b717f1258,1
0x376f111c8e67ebce9362843e2276da29305a0e1559767dcd7aa45f25f4b6a5ff,1
0x5327d5a298f50e26d6c57477e830de6a68c6539d6f0b886760d3d0f160ed5349,1
0xf6dfdd6b152d9bf03ff296ddc980757c198e8bff0c85f949bba1f533ca493828,1
0xc12a4155c2c90707138e4aef8883c8f724371145823e2f661f19b93e5b3a9d6e,1
0x557bdb3dbd678cebe527ad9bd3a6e8b3c9e5d7239b18a0a564feac091d0c2e04,1
0x68c900fb23f766ee989b73c9845cc1d98ceadbd36f586e2db47d5acfe60857e2,1
0xfcba2c38617edab9abf146bf4381edd2674873cc7bae9c6ba505a45e03a7228b,1
0x398a7ea42fab5228200835141bb732843b33943a8cf63bf16104568ccdfded62,1
0xb096c0fb28f8b3d4cd59f9df1aff268ce4968738aa116a68d350778fd4109e3c,1
0x5a93cee6aee222035465644cf505bd5087f2ee4dc8ef77eccaaf9e7cdb096807,1
0x1319a80286b9c229a2d7566e21d7476b792956e4b59ee00d26449b6b77f2bcd0,1
0x4bb619cc62daec4999dcf005674aeb960cc05d8bdc726ebb66308e5290ef5660,1
0x99cc992de6e42a0817713489aeeb21f2d5e5fdca1f833826be09a9f35e5654e3,1
0x9edea2ef6b46800ced835ca8de9fdf336c2b275d74bf93041375f1dad2329324,1
0xc2ccef1145c570a5557d63b5b8e90e8964a8275454a0bec0a036abe692b07f75,1
0xdb4616b89ad82062787a4e924d520639791302476484b9a6eca5126f79b6d877,1
0x26a83db7e28838dd9fee6fb7314ae58dcc6aee9a20bf224c386ff5e80f7e4cf2,1
0xfb2b809d6ab03359cb7fd02bc7f9414403eb5d11491d814bbb7442199eba9251,1
0x02400a41ba4a8e6173c5cba8077af8c56ce55f689c8d2b634515ab2458c52826,1
0x032c9e7fa7d1697fa64fd4a59f0d08278d27aa537525e9bd17f71f01d36b8b6a,1
0xe6e99fb5e048462e95d47fa0a8a6d29476989b8364a5a112b1ea0f469851d713,1
0x591d054a9db63f0976e533f447df482bed5f24d7429646570b2108a67e24ce54,1
0xc6c3331fa8c2d30e1ef208424c08c039a89e510df2fb6ae31e5aa40722e28fd6,1
