contract_creation_tx,malicious
0x203866c1fe885edcbb2fd1d2b43721f6bc0e97829c2a6d31a52adda4b8ff3b59,0
0x147a1b56388209b282d7bc8c111b9613ba06c5b34595531b12bfa1d7b602b94c,0
0xf0923883b3c36e447f7b8c68722150b50848edc9407dad13acfb30ce18452a10,0
0x120aa018634f555484c088c8da80f75aa07e004f,1
0x26fa077a3c34441203fe907e3f5c1f7679ad573f695267a8554f3a1ac11ac0ad,0
0x0ea3da5f447dfc21590eb8de0ad96feb12cca678d6fbea55fc6348a7a16bef06,0
0x9d6caa6b99d79cbe4eb8829e4c108847b8bc0d2d45a2d8de373f7e9938f71cf9,0
0x8a6f71293737fc250babc79b943fb1534a34a4c23e5b4aab1426d10957ca936e,0
0x65230b427493796bb731feb61f8cbcdc15b2fd0a66694cd2fde70b81cac2fdd5,0
0x371850498d1bd60d67110d1d046ffabc10f957ec,1
0x6795ee092fff80eb0c812b6a155628d285bbc02afc1fb1fb1c4346c010f0216a,0
0x5c8abe1e0b004595c6e945d5adb3cea2debe3cdf,1
0xd99b5955913a16125994a88485de40b015d8365684ac25a18171f68facd4dc42,0
0x1ccd65d573057c388ea96cc8be30c18a6d21185d,1
0x49c3019b7a83b3c77a823255533975969027308d,1
0x99625f34bfb8e0d4e078f6daef9abec2aeddb92f8f0bcb45a4cfc6da3bfef54c,0
0x34debd9473f4a165ffa33c153a8a945a445752045fe593b48183351a071d495e,0
0x30353d10905926d088dcfad6e7fe86a8982934c011a9a44270f1d4c166654464,0
0x1b4ce132e02f4f942d9415bfe0879a34e4200f3e5289da4c3400eaa288c06d16,0
0xf50e9ed7ce5ddeabcd213523399078a3151c69cde08545c80662234abf3446a6,0
0x3ac15d0bb1d0e23fcf62e7c6c11980b22e2331824463a3a2eaf2cb1f53685569,0
0x0149aeccbde7d7b1af8cdd186711afb6014a8fc5d31e63af7d0931089b550ff1,0
0x3c8b69b48da2e09f272fee2eeef7fdba5c1b6d67d902aa7d07b9f4abfcd8f09d,0
0xcb5a5f1e02158c9bb9d65667e02ed9d3c3d2e043aa568aaa81219b1bc19423d9,0
0x4a5a8b83443fe5f32534b64cce64931c069f3742,1
0xb4bb7bc721c623ccf8762644d931fc7d6091e76ac76500bc5dc024728b8de1e6,0
0x1826021bbda8d7a7ebf2fe22be29eeb4d36088a22c99cbd51d487db2e15a9cd5,0
0xbecb2125e7f3354215c7f9fb2898af029d896034a7d9063e61e86a991d87e4d1,0
0x40abb45223cb6d59faf511e6b9e5d81f035382d6be3e2567ed2dbb396c02213a,0
0xd9674a196595711ffb6e9df479bca7046ca61cdca51708416f910cae348ae29b,0
0x635c8988d8ac743dc3586149449ff74350a89daf9db10611c6ec424443594619,0
0x2f04953b21c9eef5a91923eeb42fc2fb74e59c59710baedf594b063a7bdcd972,0
0xaef6d13111c23002e78942ede2f8554d6a43e6efffe00a20b32553bcb451ed3c,0
0xb7d613af30f7e70d33deb13e23387385eeb8f94a6c1e15236f683df7a1a8eeb1,0
0x1529d38ec383c9157d2547456428735e1e9898bb,1
0x13562d1e5c3b8d0e98e574dfe260be5073ff1be7b410d1fa5f0fa47b674415e7,0
0x31f5702264335213bf6af8f229067004adc0685e4b7240cd79fe41b0c0770926,0
0x4b8705b0f740f7b51d746c0f626d06b8cf25814b,1
0x2045bc3fb6390d878365fffc69ba8c19c9b9c69f990037c94c9b45ceb220999b,0
0x516254575438afa29e6bc78edeb3f73d497355592ea40d6635705fbaeec14fa1,0
0xcd1868d9fd3efaa539de17bc2db76d3f2c9cbdb6db4cb1b3ee3bcf9425f35f66,0
0x52e8ebf98ef95d373d29041182830bf13c52588f,1
0xffa3f422cff179358e429c780977e944e2936e22952a0b8043ee1f4d57d4a670,0
0xd08652b13c85e7bb05553b71fec58b8c75c177f664e7c98afb35c3462fdf6e58,0
0x17680b25970322e8bbeed39fbf676ae42d814c640dddb09ff1921c82a08d3254,0
0x14a8c0975313bace8ee8e53b51eaf15c6e6b530efca83201ba9ab9a4a87ff128,0
0x0fb1f14e9e0f0093ca5ed8cd422a105fdb27be538a0d748791f277b51f7c9458,0
0x93d3881ca9c459eda0b2ac2ed63c3a03f6ab55dfe808162be6377acc145ef4c7,0
0x7f622d87ca2794ce79adbdc9fbbc4cb536e1fca468754279f0bf8cfee32ce9e0,0
0xe8924d297663b6f83a49e3fffa94c8ae99ece407ce252efee69f53c5662f026d,0
0x1d567d8aff275e6e9b7a425d8bcee8f52311943332b1904108e0c55141c738ed,0
0x995fcd8d31e90f245d70d77ae2b2ad30f011fc0214a2dea1613e0e0eab45514a,0
0xd2e0a0ffa621f4483c0a2ed6a5c9894b1b665a82d34687f329fbfb0ea549de3a,0
0x370f920c06581aae2f97e8d6b6ef07265d27e07f7b3a372c130bf401f5507338,0
0xae7321370d608ec05006493aa79ce0ad5d9d3297a01c5cdf433553d2c4040d9d,0
0x3388bbd7c53faee1b7ab2661af7f0a0884ecfe8b,1
0x2bca419e570b1620b5e922fc005e806453affc83,1
0xa11e0d630949b30d90b4799aa648831808ae2ec9ba219e135a3902fb0fbf1bcb,0
0x47426fa09d215a93358c0534e082dcd1cf1513551ed4b7185354c439563270b1,0
0x013104a6c328499e70a2952f549e4e36274bb78d5b30b01093395e7ecf4db322,0
0x976e94ad1ef9eda82afad64125e5b2b5d26bc71904d05d2352bd90491f53f444,0
0xc8f7a32e69726a547749e840caca21b70a6074115066aeb828d84bcabcd58bfd,0
