filename,node_count,edge_count
0xe72d4e7ba9b5af0cf2a8cfb1e30fd9f388df0ab3da79790be842bfbed11087b0.json,0,0
0x8f05c52c11e1b2cc48e6e92c5e45bd5e0fd10d22b12ac9e9b790eff353a8cbbf.json,2775,2296
0x9e08b2a66da9908f0fbd9c6cded09586cc18ad854ca2cafde4d7dfc47bc715fd.json,7902,6456
0xdff3f578284507a25d162df3f8a7fdfbd0d2078de80efaafd9b930750d2174e0.json,2479,1993
0xd6c02be0c5fe1ceab632f146d9e2bbd987299e8be1faf8b19d10a634d2f3826f.json,2153,1593
0xcb6dd8748b378e357c7a3dc49bc7d55799106ae0144eb7b722ab7e7b78e21126.json,1832,1681
0xe962b06db95db1dedb8b1664bf93bb8816c0cfbd187693d2b1ccd295313c94e3.json,689,603
0xda39a3fc453761f4d6d7f11feaab1a98e027323a244f7145ac1a9365846a070a.json,297,283
0xcab152ad406ab63549964f39b6c636aad6ec979cbf5b65376920ba5a22bc1f38.json,2117,1535
0x113f54c3c6ab79143ab240b7b9d9126487b94d856afbe0b9df67349345193d9a.json,1906,1560
0x02d35abc0fc2cf60c7cce3dfd14609273a50fac3dba80f290ca0d5566455c4de.json,4331,3366
0xbfde287cd08512e0edae0df612d72323173a18debd8f06ea9c808f6a08311de5.json,7749,6851
0x63c7ee673db3f49437d595ae7288cd6edaf59e25284e5a3a45fdbb34d63ecaa3.json,1068,932
0x591d054a9db63f0976e533f447df482bed5f24d7429646570b2108a67e24ce54.json,2758,2527
0x8af9b5fb3e2e3df8659ffb2e0f0c1f4c90d5a80f4f6fccef143b823ce673fb60.json,3934,3786
0xce3a58b81273b3e7735fccdce0ea5f664720d8a23d0c4471379fed01acb4837b.json,555,542
0x725f0d65340c859e0f64e72ca8260220c526c3e0ccde530004160809f6177940.json,1508,1332
0x7f777a94444ff4c85b00698e918e5b340afdd6d6ae95431ca0b91b3da1fec477.json,1482,1321
0xbd51c6d9943789227c709aecaf79676919594f86fa2993f46c0db956ce5c8351.json,1932,1855
0x71bc04a3c444c480f18fbe30835b5bd0032a59b9dce0dc2024feb8fb7be5e818.json,1132,971
0xe8a689ba79028e28e0289af956ee6970bb8e9bdef453875c252f9e01bfed3f68.json,933,811
0x3c25b170a1690602d994cdafad49805fa07e6309ab3a80ceccef0aed9f5271a7.json,3876,3264
0x19c03c40101209d273da7b2d55779e5d174835487cadee5cbffccc7a127c8951.json,2485,2232
0x1f6b9ccdf21dd0247d6acc4ae4eb370558ecb8b782fa51a76c5112f62b7dcda0.json,2928,2444
0xa468b200555dadaac2f1b31373b3bcf780be2d268b7bda45f485075a751876c8.json,2,1
0x4518181610a7e37841333eed71bda5f9398129d6f4087f881aa6248b4c548c57.json,4671,4185
0x71e2e18665d16bb2064bff4ae4c6e5a8bf366721e511242d403ad9aca5b138fa.json,1848,1845
0xcd314668aaa9bbfebaf1a0bd2b6553d01dd58899c508d4729fa7311dc5d33ad7.json,4827,4327
0xb1e60a1cf2715fc99356d3731e44538bb39d0687e3f7beb6c1f6a7702cd19f97.json,481,461
0xc0599287d3a5d325835a9d5e47c267c38b5562f5549aa1db52e704b5fa7bc84a.json,6,4
0xc6d98618fd8dd1c4e6cd1443c75f7ecdd933d74b9c78546a36d673116c393652.json,616,573
0x10c93b07d287419254869c45c2323df43110cfd294434694e7467d0f51465231.json,365,325
0x44caaccbc241340e843fc6f7af042fe15694b60c583e57d256131c106e0295a4.json,2485,2232
0x4288581b6783d84c5afa82c72d82e529b53053e555bb93bb320983dd6715dd95.json,478,460
0xa3cbbdd2494f6d5452de8edc5c8c32f316abc40140a63769a22e04cd2549963b.json,5882,5320
0x577a9ea2d99c9e51b2784976cdd042278f25a4e6ed001a2667cb7b9119c27e4d.json,6222,5749
0xed3618e6e9447414ef9da6bbccb33f055d79ff9ce81e40b6889cfa26ae9e5973.json,475,457
0xa9665b4194ce8523035eaac41b4acf47a57da027ded3d42e21ad3dbf416c9493.json,5761,5083
0x75c09263eda1a2d4a0ffb99d6833f49015c35833b6bcb4d112efe2e286355b34.json,1032,761
0x980707bd6ee064cd21d0f2a6eb4d7b620f7fe89c896b6ccb04d955a1b574c7f3.json,2458,2065
0xaf321e7b2c630b2a80c94de23958b1f49d4193b5878738d058c5a02576668374.json,2046,1671
0xb096c0fb28f8b3d4cd59f9df1aff268ce4968738aa116a68d350778fd4109e3c.json,914,810
0x93684b238fd392d7f046eb10295f7a3505744d689a2246c97211fe0a9e787df9.json,616,573
0xce5e23f35193c8a2f02243a530c39dbdd60bcf6ea35b291590e3814e0c293cc9.json,1308,1161
0xdd5dbe372cff6f45102bd9ed1ee4e045bf96af69348ca0325b816005aec500c9.json,6668,5567
0x575ae593dcdf46d91504414ffdd9fa81336d6dcea5f596ca1d6fecec3f169837.json,1203,1039
0xb96476546ec879aef56ab80de9fc29b0f851c5371894511842f2394ef4946e89.json,1280,1182
0x61092c396208c4c74430967e6061e9031ef80adcbb4cf64e58598a9e6b608302.json,4610,4024
0x16718a6df144de749035e4763946ad56d3dfaeb5d151a82f913698fa4ae28c3d.json,7039,5755
0x140d1cf2e2f6150f82cb331f0d49e7a1795e7dd33d0069dd6f8ab9731de78bf0.json,7981,7124
0x70977789e783b1d04d8d3054172fa22174f11ff401e4f466fceac0546749d377.json,1557,1399
0xd8aa49db17aae9ac50867fb9c4db51b9782b105d8ee1140ffee2ef21b009dc31.json,1920,1755
0x1c09fd1464c2b4bc6f34716862805f40b8504871df055072f1bc5adecf774a1e.json,616,573
0xe5291ddd93d92ca9452a963fc5df6b3982d27734e42c42e1d7a99b8c75ccd11a.json,6820,5988
0x03685dd50cef14dd78e105045f2b185e10c83fa46cb0b677f9b31169127b2337.json,2485,2232
0x1a595d10be428e49dd3558859743fe4bc4570545a55d357f405bd630061c6be0.json,4610,4024
0x208f27f35fe302366252741c8cebe0d8861859ae9d7b17f8b2c62156bf5c8e4f.json,1257,1124
0x2683a355d93c649d3b9fa74d7556dca2f28ec70577ce7e9b267279c138caf4e4.json,0,0
0x629ccd0b003c9b2b62379c0f0c3dda9050a292b705dbefb736ac78a7642fe3ea.json,3491,2615
0x33592ea65509470ea8c478d7989edc817afaf0b50c7d3a0285ae5eee8feb49ec.json,5923,4984
0x791995a65bc6b8b143da6151ff4265f0030c6d12adc5e10b94e80464a9ed4413.json,683,632
0x3be9358105a7341e19a33b262512b9810b3380763819cdb35794ee724920c02c.json,1657,1203
0xec06fee586aea310b31600f3c53f9e4a6eef9aa8311863f4cd4160523676683a.json,3024,2762
0x26a83db7e28838dd9fee6fb7314ae58dcc6aee9a20bf224c386ff5e80f7e4cf2.json,6130,5107
0xb9e7f2d73efeb77079edf49a8ba65732dbff4aec790ccf6141a48522b71cb2d4.json,5071,4546
0xa63de1b90f4271ce0b4214261ffc3d9c07c02fff04520a606d33118a1a2acea7.json,14909,13346
0x69516d65b69d42be882ce80b623add76bff9a8d1514d7fb9f6ccf7d26d635bbc.json,1836,1630
0x2d636161292b293ee1a07da79239d1298828e803f81d525954bb4160f2704c2e.json,1430,1221
0x21318476755cc4edf552966002837b0b1460060e2940e38745809c230f7fa502.json,3751,3202
0xeb3a560927b118149f68acb9b11eeb93fcc91d7f98a315117974eecdcd42e206.json,1453,1117
0x5a93cee6aee222035465644cf505bd5087f2ee4dc8ef77eccaaf9e7cdb096807.json,3044,2351
0x4671b1cb652230255c638b9036eb995db92c4efeca3473f39b0f39f9f0779d64.json,2485,2232
0xac9cd53202912c12fc5923633656aeeb9d25e92e745b3e72c51c97589e8815c1.json,2441,1928
0x8946036663ccae74387c1f2c3df72e6e8c1aa2a3168ae6ff67d709266c1a8ed4.json,1563,1280
0x28e2203b9b813bd002230eb82e0353806541187b0409c5f673515eb3ee59f048.json,1786,1600
0x45d93aa6b24ac2c6606d81ecae3d8ec5609772cfab3839661d3ae7319e3763b4.json,4610,4024
0x24c29a858375c3f7012719ce899be0d8857f62200b592a1d201e316e9e917873.json,4669,4185
0x1aaa35712784713d9ef40bf4848132cc031ce04611d7837649a7f0bf3e03bbf5.json,4610,4024
0x8aa573b31b9f24b5547d3abe3c7a2c3d5b396e13c85fad1e56654ebfc92ed23d.json,472,455
0xd7ec3046ec75efbd04b3eea8752a8a6373a92c0dd813d08b655661054d3239c5.json,4,2
0x0126e68dc0494d6b25f264d80e15759e150a3d9e8554070410c6c7a40745bd5b.json,3661,3244
0xb4988a59a58fbf829cc15330f9888659470f36bdec1c228765ce84771039dfed.json,2944,2326
0x0fdd9a2e32b8c36bc4827fb5fe5a2d5bb4bb49919a5c311cb0d5b5d37b98a3b2.json,2582,2020
0xf792f288e0e23e0d65136de3f309572e29890735586cbd21589fd8bd5ce0cded.json,6217,5468
0x478d724da4e6125c889053ccf6068ed0f8f8013dd20bc80bab6a203542c3f93d.json,1836,1630
0x8941bc3772efc5d7ad12fda16543c4bfc4b4bd6a50911f007647c4d17ec6dd09.json,616,573
0x38fac8b1cac8046b6d2eb7e8df0922b16b09014aabb1b20e2a1d248191545f66.json,1699,1550
0x94000c188db2a100d13347b1c0c81209ba774a66fffe354f17ac9a3ec0a4f532.json,1213,1105
0xd812b28a62847f9c6036a794c754cb243b0d20d6a215b361371c9201621b69af.json,2359,1927
0x431af3fbce70dbc880f24d62f5dcecea7fa79becf16495563c7cbd283ca8a853.json,3366,3049
0xd38d714d39b56c64ca329530bed847817a163e98e1d2cf63597b6218d2098031.json,4208,3818
0xd76d06a81b8e29f0348b68005ac395e3295586c921fbbae4deb60a0c92266983.json,4983,4540
0xef34f4fdf03e403e3c94e96539354fb4fe0b79a5ec927eacc63bc04108dbf420.json,1634,1509
0x032c9e7fa7d1697fa64fd4a59f0d08278d27aa537525e9bd17f71f01d36b8b6a.json,2571,2007
0xa10ecd2689857046f4adc7c61fc62ed691a0d16cfc03d76cc5bdca2315f7cc6e.json,1032,761
0x215e32d4c6dc5ffa0d7180801d46bfdc72863c8a54a1d510f1efddb20019faee.json,4525,3923
0x230485cf7d9df3a8fb56efc887890c5fb7cdc7abc74e38c9ccc75567883efc88.json,1322,1216
0xf57a9218cf3ce054c1770db0206594860663d33d8dceb122f037e47854db3cf2.json,1003,937
0xe3141167472a7c05d625f1b15c2c63f833bc5ac2022af2a3407d74f172db917f.json,1565,1162
0xaedd9444fddcd5d95868d2fdd49c6289db7b68091fc9105dbb8b29f5ee121c77.json,3414,2716
0xce003fcd0985f8ecdd9d28ea7f86a0798d2a582f37ff692587bb6cbcd8168aa8.json,1583,1495
0xdb04dfe9f0cbb87b28b8238373641e11ad100f7b1fab4a55011b33bd8b5fdd6a.json,1629,1370
0xe4f99b2fb86a317eb16f7f288fda74ab07f0ffcbf645fb3b1a6490ca23206d09.json,4387,3414
