Defi platform,chain browser,adversarial contracts,interval time,reason,loss
Bao,etherscan,0x3F99D5Cd830203a3027EB0ed6548db7f81C3408f,00:00:00,Donate Inflation ExchangeRate && Rounding Error,46000
RoeFinance,etherscan,0x3a5b7DB0BE9F74324370FBD65b75850A5c82D176,00:00:00,FlashLoan price manipulation,80000
BRA,bscscan,0x6066435edce9c2772f3f1184b33fc5f7826d03e7,00:00:00,Business Logic Flaw,
BRA,bscscan,0x1fae46b350c4a5f5c397dbf25ad042d3b9a5cb07,00:00:00,,224000
BabySwap,bscscan,0xde7e741bd9dc7209b56f1ef3b663efb288c928d4,00:00:00,Parameter Access Control,65000
BEANSTALK,etherscan,0x79224bC0bf70EC34F0ef56ed8251619499a59dEf,0:00:00,DAO + Flashloan,182000000
Melo,bscscan,0x4985DB6Fa42F6a30Ea7D20CB19591A0552C67238,00:00:00,Access Control,90000
Cellframenet,bscscan,0x1e2a251b29e84e1d6d762c78a9db5113f5ce7c48,00:00:00,Calculation issues during liquidity migration,76000
Omni,etherscan,0x3c10e78343c475b99d20fa544dd30b43c0cba26f,0:00:00,Reentrancy,1400000
DeFiPie,bscscan,0x0d1e8ceb7a41a7685ae3bf8a20c310cda1568281,0:00:00,Flashloan+reentrancy,350000
INVERSE FINANCE,etherscan,0xf508c58ce37ce40a40997C715075172691F92e2D,00:00:08,price manipulation,15600000
BBOX,bscscan,0xa792a5f442b07b3cb8da5867c4e6940aa85c5bb5,00:00:09,FlashLoan price manipulation,12000
SEAMAN,bscscan,0x0E647d34c4caF61D9E377a059A01b5C85AB1d82a,00:00:12,Business Logic Flaw,7000
Rubic,etherscan,0x253dD81d642220267ccAc1d8202c0B96a92b299e,00:00:12,logic flaw,26250
HEALTH,bscscan,0x80e5fc0d72e4814cb52c16a18c2f2b87ef1ea2d4,00:00:12,Transfer Logic Flaw,9600
Civfund,etherscan,0xF466F9f431aEa853040EF837626b1c59CC963ce2,00:00:12,Lack of access control,165000
Curve,etherscan,0x83E056Ba00bEae4D8aA83dEb326a90A4E100d0c1,00:00:12,Vyper Compiler Bug && Reentrancy,50000000
HeavensGate,etherscan,0x38702e5c98bA4AD4b786D5a075A5c74694cD616d,00:00:12,Rebasing logic issue,14000
HeavensGate,etherscan,0x8faA53A742Fc732B04dB4090A21e955Fe5c230be,00:00:12,,
EarningFram,etherscan,0xFe141C32E36Ba7601D128F0C39DEdBE0F6aBb983,00:00:12,,286000
CFC,bscscan,0x8213e87bb381919b292ace364d97d3a1ee38caa4,00:00:15,Uniswap Skim() token balance attack,16000
HARVEST FINANCE,etherscan,0xc6028a9Fa486F52efd2B95B949AC630d287CE0aF,00:00:18,Flashloan Attack,33800000
APEDAO,bscscan,0x45aa258ad08eeeb841c1c02eca7658f9dd4779c0,00:00:18,Business Logic Flaw,7000
Euler FINANCE,etherscan,0x036cec1a199234fC02f72d29e596a09440825f1C,00:00:24,business logic flaw and flashloan,200000000
Euler FINANCE,etherscan,0xeBC29199C817Dc47BA12E3F86102564D640CBf99,00:00:24,,
AUDIUS,etherscan,0xbdbb5945f252bc3466a319cdcc3ee8056bf2e569,00:00:24,Storage Collision & Malicious Proposal,1080000
BTC20,etherscan,0xb7FbF984A50cd7c66e6dA3448D68D9f3B7F24f33,00:00:24,Price Manipulation,32400
NewFi,bscscan,0x18703a4fd7b3688607abf25424b6ab304def2512,00:00:24,Lack Slippage Protection,31000
Cream Finance,etherscan,0x32d77947aACa79FE5485560C16090721725f2B84,00:00:29,,
BIGFI,bscscan,0x1a14ccc8f353d16582c0dfab907481b218475959,00:00:33,Reflection token,30000
BEGO,bscscan,0x08a525104ea2a92abbce8e4e61c667eed56f3b42,00:00:36,Incorrect signature verification,7200
